,2.0,16.0,5.0,0.0,
orchestras,1.0,1.0,0.0,0.0,
four,0.0,0.0,0.0,0.0,
facilities,0.0,0.0,0.0,0.0,
votes,2.0,0.0,0.0,0.0,
model the large,0.0,0.0,0.0,0.0,
founder,0.0,20.0,2.0,0.0,
paris,13.0,1.0,27.0,0.0,
contained,0.0,0.0,0.0,0.0,
originality,1.0,1.0,0.0,0.0,
berlin has busied,0.0,0.0,0.0,0.0,
people in june,0.0,0.0,0.0,0.0,
oriental,4.0,1.0,5.0,0.0,
rescue,0.0,0.0,0.0,0.0,
next spring,0,0,0,0,
bringing,0.0,0.0,0.0,0.0,
wick,0,3,4,0,
vast,0.0,5.0,1.0,0.0,
tickets,0.0,0.0,2.0,0.0,
school,2.0,0.0,1.0,0.0,
prize,2.0,0.0,0.0,0.0,
wooden,0.0,0.0,0.0,0.0,
companies,0.0,0.0,0.0,0.0,
wednesday,3.0,0.0,0.0,0.0,
john mccain,3.0,0.0,0.0,0.0,
announced,0.0,0.0,0.0,0.0,
ups,0.0,5.0,4.0,0.0,
enjoy,0.0,0.0,0.0,0.0,
from times square,0.0,0.0,0.0,0.0,
leaders,5.0,2.0,5.0,0.0,
concise,0.0,0.0,5.0,0.0,
horn,3.0,0.0,14.0,0.0,
elegant,5.0,0.0,2.0,0.0,
second,1.0,0.0,0.0,0.0,
street,3.0,0.0,3.0,0.0,
sailed,0.0,0.0,0.0,0.0,
estimated,2.0,0.0,1.0,0.0,
panda,16,7,9,0,
star to hbo,0,0,0,0,
even,3.0,0.0,0.0,0.0,
stardom,3,1,0,0,
pace,0.0,2.0,11.0,0.0,
thunder,3.0,2.0,10.0,0.0,
contributed,0.0,0.0,0.0,0.0,
near,1.0,0.0,3.0,0.0,
asia,10.0,0.0,11.0,0.0,
lights,12.0,2.0,5.0,0.0,
above,4.0,0.0,1.0,0.0,
toll,5.0,9.0,2.0,0.0,
churches,2.0,2.0,2.0,0.0,
switch up,2.0,0.0,0.0,0.0,
revolved,0.0,0.0,0.0,0.0,
told,0.0,0.0,5.0,0.0,
comprising more,0.0,0.0,0.0,0.0,
courteney,51.0,0.0,3.0,0.0,
never,1.0,1.0,1.0,0.0,
disposable,2.0,5.0,0.0,0.0,
here,3.0,2.0,1.0,0.0,
hundreds,0.0,0.0,1.0,0.0,
met,0.0,13.0,13.0,0.0,
china,16.0,0.0,16.0,0.0,
affiliated,0.0,3.0,0.0,0.0,
100,1.0,1.0,1.0,0.0,
celebration,4.0,0.0,1.0,0.0,
substance,0.0,0.0,0.0,0.0,
ventures,3.0,12.0,1.0,0.0,
employees,0.0,0.0,0.0,0.0,
piercing,0.0,0.0,0.0,0.0,
reports,0.0,0.0,0.0,0.0,
itunes,0.0,9.0,0.0,0.0,
smoke,2.0,1.0,3.0,0.0,
military,0.0,0.0,0.0,0.0,
settled,6.0,0.0,6.0,0.0,
glittering,0.0,0.0,0.0,0.0,
criticism,1.0,0.0,0.0,0.0,
golden,4.0,4.0,25.0,0.0,
roosevelt alerting,0.0,0.0,0.0,0.0,
campaign,0.0,0.0,0.0,0.0,
explained,1.0,0.0,0.0,0.0,
kennedy family,5.0,4.0,0.0,0.0,
highly,4.0,0.0,4.0,0.0,
archaeological,0.0,0.0,0.0,0.0,
guests,6.0,0.0,1.0,0.0,
romantically,3.0,0.0,0.0,0.0,
total,2.0,1.0,0.0,0.0,
unit,2.0,7.0,4.0,0.0,
devastation,1.0,0.0,0.0,0.0,
arms,0.0,1.0,1.0,0.0,
noting,0.0,0.0,0.0,0.0,
music,8.0,0.0,1.0,0.0,
family is an american,0.0,0.0,0.0,0.0,
type,0.0,1.0,0.0,0.0,
until,0.0,0.0,0.0,0.0,
more confident,0.0,0.0,0.0,0.0,
hahn,2.0,3.0,4.0,0.0,
holy,8.0,0.0,0.0,0.0,
brings,0.0,0.0,0.0,0.0,
hurt,3.0,1.0,1.0,0.0,
glass,3.0,1.0,1.0,0.0,
berlin,6.0,4.0,25.0,0.0,
times square for discounted,0.0,0.0,0.0,0.0,
90,0.0,0.0,0.0,0.0,
word,5.0,2.0,2.0,0.0,
room,2.0,1.0,1.0,0.0,
setup,2.0,0.0,0.0,0.0,
work,8.0,0.0,0.0,0.0,
incubator,1.0,5.0,1.0,0.0,
straits,2.0,0.0,0.0,0.0,
already,0,0,0,0,
example,2.0,2.0,2.0,0.0,
the kennedy,0.0,0.0,0.0,0.0,
give,1.0,0.0,2.0,0.0,
robert and ted,0.0,0.0,0.0,0.0,
want,1.0,0.0,0.0,0.0,
scheduling,1.0,0.0,2.0,0.0,
life as a form,0.0,0.0,0.0,0.0,
david,6.0,1.0,7.0,0.0,
ted both,0.0,0.0,0.0,0.0,
totaled,0.0,1.0,0.0,0.0,
aging,3.0,0.0,0.0,0.0,
end,0.0,0.0,1.0,0.0,
best orchestras,0.0,0.0,0.0,0.0,
boroughs,0.0,0.0,15.0,0.0,
far,0.0,0.0,13.0,0.0,
amazing,5.0,0.0,0.0,0.0,
allied,1.0,1.0,0.0,0.0,
hop,1.0,0.0,1.0,0.0,
toxic,1.0,0.0,0.0,0.0,
palaces,1.0,1.0,11.0,0.0,
transforming,0.0,5.0,0.0,0.0,
earlier,0.0,0.0,0.0,0.0,
loyalty,1.0,0.0,3.0,0.0,
lab,0.0,0.0,3.0,0.0,
paris ’ s appeal,0.0,0.0,0.0,0.0,
president,3.0,2.0,4.0,0.0,
law,1.0,0.0,5.0,0.0,
back to germany,0.0,0.0,0.0,0.0,
third,2.0,0.0,3.0,0.0,
tulip,1.0,2.0,4.0,0.0,
centres in europe,0.0,0.0,0.0,0.0,
enter,0.0,0.0,0.0,0.0,
play at being,0.0,0.0,0.0,0.0,
beth ostrosky,1.0,0.0,0.0,0.0,
democratic,3.0,1.0,1.0,0.0,
family members,4.0,0.0,0.0,0.0,
